station_eva,direction,train_id,type,timestamp,tts
8000207,departure,r17100370,q,2505012027,25-05-01 20:27:16.168
8000207,departure,r17099621,f,2505012005,25-05-01 20:05:21.376
8000207,departure,r17099840,f,2505012011,25-05-01 20:11:42.333
8000207,departure,r17101038,f,2505012047,25-05-01 20:48:05.359
8000207,arrival,r17102507,d,2505012137,25-05-01 21:37:35.482
8000207,departure,r17102507,d,2505012137,25-05-01 21:37:35.482
8000207,arrival,r17067635,d,2505010454,25-05-01 04:54:52.990
8000207,arrival,r17088191,q,2505011544,25-05-01 15:44:53.217
8000207,arrival,r17100599,d,2505012034,25-05-01 20:34:38.444
8000207,arrival,r17100619,d,2505012035,25-05-01 20:35:10.002
8000207,arrival,r17102391,f,2505012134,25-05-01 21:34:41.570
8000207,departure,r17102391,f,2505012134,25-05-01 21:34:41.570
8000207,arrival,r17099613,f,2505012005,25-05-01 20:05:21.376
8000207,arrival,r17099619,f,2505012005,25-05-01 20:05:21.376
8000207,arrival,r17099832,f,2505012011,25-05-01 20:11:26.346
8000207,arrival,r17099837,f,2505012011,25-05-01 20:11:42.333
8000207,arrival,r17102048,f,2505012121,25-05-01 21:21:48.443
8000207,arrival,r17097761,q,2505011911,25-05-01 19:11:39.180
8000207,arrival,r17099008,f,2505011945,25-05-01 19:45:49.172
8000207,arrival,r17099009,f,2505011945,25-05-01 19:45:49.172
8000207,arrival,r17099011,q,2505011945,25-05-01 19:45:49.172
8000207,arrival,r17100988,d,2505012046,25-05-01 20:47:02.088
8000207,arrival,r17102007,f,2505012119,25-05-01 21:19:57.307
8000207,arrival,r17015167,d,2504300821,25-04-30 08:21:55.171
8000207,arrival,r17045964,f,2504301744,25-04-30 17:45:02.146
8000207,arrival,r17101985,d,2505012118,25-05-01 21:19:10.077
8000207,arrival,r17102124,f,2505012124,25-05-01 21:25:12.916
8000207,departure,r17015167,d,2504300821,25-04-30 08:21:55.171
8000207,departure,r17045964,f,2504301744,25-04-30 17:45:02.146
8000207,departure,r17101985,d,2505012118,25-05-01 21:19:10.077
8000207,departure,r17102124,f,2505012124,25-05-01 21:25:12.916
8000207,departure,r17098792,f,2505011938,25-05-01 19:38:09.064
8000207,departure,r17098787,f,2505011938,25-05-01 19:38:09.064
8000207,arrival,r17055398,f,2504302020,25-04-30 20:21:04.511
8000207,arrival,r17055399,f,2504302020,25-04-30 20:21:04.511
8000207,arrival,r17098839,f,2505011939,25-05-01 19:39:28.121
8000207,arrival,r17099509,d,2505012000,25-05-01 20:00:36.265
8000207,arrival,r17100842,d,2505012041,25-05-01 20:41:14.472
8000207,arrival,r17101389,d,2505012100,25-05-01 21:00:27.576
8000207,arrival,r17096231,q,2505011833,25-05-01 18:33:59.574
8000207,arrival,r17098444,d,2505011928,25-05-01 19:29:08.370
8000207,arrival,r17098750,d,2505011937,25-05-01 19:37:21.236
8000207,arrival,r17098869,d,2505011940,25-05-01 19:41:03.046
8000207,departure,r17096231,q,2505011833,25-05-01 18:33:59.574
8000207,departure,r17098444,d,2505011928,25-05-01 19:29:08.370
8000207,departure,r17098750,d,2505011937,25-05-01 19:37:21.236
8000207,departure,r17098869,d,2505011940,25-05-01 19:41:03.046
